pid,year_t0,year_t1,telco_t0,telco_t1,churn_any,churn_to_mvno,a03002_tminus1,a03024_tminus1,a03026_tminus1,c01002_tminus1,c01004_tminus1,c02003_tminus1,c02001_tminus1,age1_tminus1,income1_tminus1,job1_tminus1
100070001,2024,2025,3.0,3.0,0,0,3.0,1.0,0.0,5.0,1.0,1.0,1.0,68,8,1
100070002,2020,2021,3.0,3.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,4.0,59,1,0
100070002,2021,2022,3.0,3.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,4.0,60,1,0
100070002,2022,2023,3.0,3.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,4.0,61,1,0
100070002,2023,2024,3.0,3.0,0,0,3.0,1.0,0.0,5.0,1.0,1.0,4.0,62,1,0
100070002,2024,2025,3.0,3.0,0,0,3.0,1.0,0.0,5.0,1.0,1.0,4.0,63,1,0
100080001,2020,2021,1.0,1.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,61,4,1
100080001,2021,2022,1.0,1.0,0,0,3.0,1.0,0.0,5.0,1.0,1.0,1.0,62,4,1
100080001,2022,2023,1.0,1.0,0,0,3.0,1.0,0.0,5.0,1.0,1.0,1.0,63,5,1
100080001,2023,2024,1.0,1.0,0,0,3.0,1.0,0.0,5.0,2.0,1.0,1.0,64,5,1
100080001,2024,2025,1.0,1.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,65,5,1
100080002,2020,2021,3.0,3.0,0,0,4.0,1.0,0.0,6.0,2.0,1.0,1.0,34,8,1
100080002,2021,2022,3.0,2.0,1,0,4.0,1.0,0.0,8.0,1.0,0.0,1.0,35,8,1
100080002,2022,2023,2.0,2.0,0,0,4.0,1.0,1.0,9.0,1.0,1.0,1.0,36,8,1
100080002,2023,2024,2.0,2.0,0,0,4.0,1.0,0.0,7.0,1.0,1.0,1.0,37,8,1
100080002,2024,2025,2.0,2.0,0,0,4.0,1.0,0.0,7.0,1.0,1.0,1.0,38,8,1
100090001,2020,2021,2.0,2.0,0,0,3.0,1.0,0.0,7.0,1.0,1.0,1.0,33,8,1
100090001,2021,2022,2.0,2.0,0,0,4.0,1.0,0.0,7.0,2.0,1.0,1.0,34,9,1
100090001,2022,2023,2.0,2.0,0,0,4.0,1.0,1.0,9.0,1.0,1.0,1.0,35,9,1
100090001,2023,2024,2.0,2.0,0,0,4.0,1.0,0.0,7.0,2.0,1.0,1.0,36,9,1
100090001,2024,2025,2.0,2.0,0,0,4.0,1.0,0.0,6.0,1.0,1.0,1.0,37,10,1
100090002,2020,2021,3.0,3.0,0,0,3.0,1.0,0.0,5.0,1.0,1.0,1.0,30,6,1
100090002,2021,2022,3.0,2.0,1,0,3.0,1.0,0.0,6.0,1.0,0.0,1.0,31,6,1
100090002,2022,2023,2.0,2.0,0,0,4.0,1.0,0.0,6.0,2.0,1.0,1.0,32,6,1
100090002,2023,2024,2.0,2.0,0,0,4.0,1.0,0.0,6.0,2.0,1.0,1.0,33,6,1
100090002,2024,2025,2.0,2.0,0,0,4.0,1.0,0.0,6.0,1.0,1.0,1.0,34,6,1
100120001,2020,2021,1.0,1.0,0,0,3.0,0.0,0.0,7.0,3.0,0.0,1.0,60,9,1
100120001,2021,2022,1.0,1.0,0,0,4.0,0.0,0.0,6.0,2.0,0.0,1.0,61,8,1
100120001,2022,2023,1.0,2.0,1,0,4.0,1.0,1.0,6.0,2.0,0.0,1.0,62,9,1
100120001,2023,2024,2.0,1.0,1,0,4.0,1.0,1.0,6.0,1.0,0.0,4.0,63,9,1
100120001,2024,2025,1.0,2.0,1,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,64,9,1
100120002,2020,2021,2.0,1.0,1,0,2.0,0.0,0.0,6.0,3.0,0.0,1.0,57,1,0
100120002,2021,2022,1.0,1.0,0,0,4.0,0.0,0.0,6.0,2.0,0.0,1.0,58,1,0
100120002,2022,2023,1.0,1.0,0,0,4.0,1.0,1.0,6.0,2.0,0.0,1.0,59,1,0
100120002,2023,2024,1.0,1.0,0,0,4.0,1.0,1.0,6.0,1.0,0.0,4.0,60,1,0
100120002,2024,2025,1.0,2.0,1,0,4.0,1.0,0.0,4.0,1.0,1.0,4.0,61,1,0
100130001,2020,2021,1.0,3.0,1,0,3.0,0.0,0.0,7.0,3.0,1.0,1.0,40,9,1
100130001,2021,2022,3.0,1.0,1,0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,41,8,1
100130001,2022,2023,1.0,3.0,1,0,4.0,1.0,1.0,6.0,2.0,1.0,1.0,42,10,1
100130001,2023,2024,3.0,3.0,0,0,4.0,1.0,1.0,7.0,2.0,1.0,1.0,43,9,1
100130001,2024,2025,3.0,1.0,1,0,4.0,1.0,0.0,5.0,1.0,1.0,1.0,44,9,1
100130002,2020,2021,1.0,1.0,0,0,2.0,0.0,0.0,6.0,3.0,0.0,1.0,38,7,1
100130002,2021,2022,1.0,1.0,0,0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,39,7,1
100130002,2022,2023,1.0,3.0,1,0,4.0,1.0,1.0,6.0,1.0,0.0,1.0,40,7,1
100130002,2023,2024,3.0,3.0,0,0,4.0,1.0,1.0,7.0,2.0,1.0,1.0,41,7,1
100130002,2024,2025,3.0,1.0,1,0,4.0,1.0,0.0,5.0,1.0,1.0,4.0,42,1,0
100140001,2020,2021,1.0,1.0,0,0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,56,8,1
100140001,2021,2022,1.0,1.0,0,0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,57,9,1
100140001,2022,2023,1.0,2.0,1,0,4.0,1.0,1.0,7.0,2.0,1.0,1.0,58,8,1
100140001,2023,2024,2.0,1.0,1,0,4.0,1.0,0.0,5.0,1.0,1.0,1.0,59,8,1
100140002,2020,2021,1.0,1.0,0,0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,55,6,1
100140002,2021,2022,1.0,3.0,1,0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,56,8,1
100140002,2022,2023,3.0,1.0,1,0,4.0,1.0,1.0,7.0,2.0,1.0,1.0,57,7,1
100140002,2023,2024,1.0,1.0,0,0,4.0,1.0,0.0,5.0,1.0,1.0,1.0,58,7,1
100140002,2024,2025,1.0,2.0,1,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,59,7,1
100150001,2022,2023,3.0,1.0,1,0,4.0,1.0,1.0,7.0,2.0,0.0,1.0,62,7,1
100150001,2023,2024,1.0,2.0,1,0,4.0,1.0,1.0,6.0,1.0,1.0,4.0,63,8,1
100150001,2024,2025,2.0,2.0,0,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,64,9,1
100150002,2022,2023,1.0,1.0,0,0,4.0,1.0,1.0,7.0,2.0,1.0,1.0,59,6,1
100150002,2023,2024,1.0,2.0,1,0,4.0,1.0,1.0,6.0,1.0,1.0,1.0,60,1,0
100150002,2024,2025,2.0,2.0,0,0,4.0,1.0,0.0,4.0,1.0,1.0,4.0,61,1,0
100160001,2020,2021,2.0,3.0,1,0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,58,9,1
100160001,2021,2022,3.0,3.0,0,0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,59,10,1
100160001,2022,2023,3.0,3.0,0,0,4.0,1.0,1.0,6.0,2.0,0.0,1.0,60,10,1
100160001,2023,2024,3.0,3.0,0,0,4.0,1.0,1.0,7.0,2.0,0.0,1.0,61,8,1
100160001,2024,2025,3.0,2.0,1,0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,62,9,1
100160002,2020,2021,2.0,3.0,1,0,2.0,1.0,1.0,4.0,3.0,1.0,4.0,60,1,0
100160002,2021,2022,3.0,2.0,1,0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,61,1,0
100160002,2022,2023,2.0,3.0,1,0,4.0,1.0,1.0,7.0,2.0,0.0,4.0,62,1,0
100160002,2023,2024,3.0,3.0,0,0,4.0,1.0,1.0,7.0,2.0,0.0,1.0,63,1,0
100160002,2024,2025,3.0,2.0,1,0,4.0,1.0,0.0,4.0,1.0,1.0,4.0,64,1,0
100160003,2020,2021,2.0,3.0,1,0,3.0,1.0,1.0,7.0,3.0,1.0,1.0,29,7,1
100170001,2020,2021,3.0,3.0,0,0,3.0,1.0,0.0,5.0,4.0,1.0,1.0,50,9,1
